order_item_id,order_id,asin,sku,product_title,browse_node_id,category_l1,quantity_ordered,item_price_amt,currency_code,gift_wrap_amt,shipping_amt,tax_amt,is_replacement,seller_id,fulfillment_channel,fiscal_week
OI-50023,US-2026-10020,B0PE001,S008-001,Grain-Free Dog Treats,2619533011,Pet Supplies,1,31.99,USD,0.00,0.00,2.32,false,S008,MFN,2026W29
OI-50024,US-2026-10021,B0PE001,S009-001,Grain-Free Dog Treats,2619533011,Pet Supplies,1,19.99,USD,0.00,5.99,1.45,false,S009,MFN,2026W30
OI-50025,US-2026-10022,B0PE001,S010-001,Grain-Free Dog Treats,2619533011,Pet Supplies,2,22.99,USD,0.00,0.00,3.33,false,S010,MFN,2026W31
OI-50026,US-2026-10022,B0PE002,S010-002,Cat Water Fountain,2619533011,Pet Supplies,2,22.99,USD,0.00,0.00,3.33,false,S010,MFN,2026W31
OI-50027,US-2026-10023,B0HK001,S011-001,Glass Meal Prep Set,3760911,Home & Kitchen,1,35.99,USD,4.99,0.00,2.61,false,S011,AFN,2026W32
OI-50028,US-2026-10024,B0SO001,S012-001,Yoga Mat 6mm,3375251,Sports & Outdoors,1,33.50,USD,0.00,0.00,2.43,false,S012,AFN,2026W33
OI-50029,US-2026-10025,B0HK001,S001-001,Glass Meal Prep Set,3760911,Home & Kitchen,2,41.99,USD,0.00,0.00,6.09,false,S001,AFN,2026W28
OI-50030,US-2026-10026,B0HK001,S002-001,Glass Meal Prep Set,3760911,Home & Kitchen,1,29.99,USD,0.00,0.00,2.17,false,S002,MFN,2026W29
OI-50031,US-2026-10027,B0HK001,S003-001,Glass Meal Prep Set,3760911,Home & Kitchen,1,32.99,USD,0.00,0.00,2.39,false,S003,MFN,2026W30
OI-50032,US-2026-10028,B0SO001,S004-001,Yoga Mat 6mm,3375251,Sports & Outdoors,2,30.50,USD,0.00,0.00,4.42,false,S004,MFN,2026W31
